Hesap No,Müşteri No,Hesap Türü,Bakiye,Bakiye (TL),Bakiye (USD),Bakiye (EUR),Şube Kodu,Hesap Açılış Tarihi,Hesap Durumu
1288,645,Vadeli Mevduat,588.21,588.21,58.6,23.51,1,2024-05-02,Aktif
1289,645,Vadesiz Mevduat,99355.66,99355.66,5314.54,2947.75,12,2021-09-09,Aktif
1290,646,Vadeli Mevduat,21044.85,21044.85,1786.84,28.03,26,2024-01-11,Aktif
1291,646,Vadeli Mevduat,13912.26,13912.26,1984.56,125.31,2,2023-09-15,Aktif
1292,646,Vadeli Mevduat,136109.81,136109.81,19771.96,15145.29,2,2024-06-12,Kapalı
1293,647,Vadesiz Mevduat,39159.81,39159.81,3476.31,3670.6,9,2022-01-20,Aktif
1294,648,Vadeli Mevduat,26823.59,26823.59,3873.36,917.74,7,2021-02-25,Aktif
1295,648,Vadesiz Mevduat,5234.05,5234.05,725.17,32.35,25,2023-07-18,Aktif
1296,648,Vadeli Mevduat,68694.06,68694.06,5297.06,933.58,21,2022-06-01,Aktif
1297,649,Vadeli Mevduat,139667.53,139667.53,1159.96,13168.32,3,2021-12-25,Aktif
1298,650,Vadeli Mevduat,132445.18,132445.18,7084.4,2919.74,23,2021-07-26,Aktif
1299,651,Vadeli Mevduat,56877.41,56877.41,1343.01,5490.05,18,2021-03-02,Aktif
1300,651,Vadeli Mevduat,23327.47,23327.47,1033.75,2226.08,1,2023-02-12,Aktif
1301,652,Vadesiz Mevduat,147006.65,147006.65,5256.05,14327.74,34,2023-06-04,Aktif
1302,652,Vadesiz Mevduat,56545.1,56545.1,1188.82,361.42,27,2022-09-17,Aktif
1303,652,Vadesiz Mevduat,107521.35,107521.35,2090.07,5629.33,5,2022-03-23,Aktif
1304,653,Vadesiz Mevduat,149469.31,149469.31,2351.6,731.16,17,2022-04-02,Aktif
1305,653,Vadesiz Mevduat,147559.41,147559.41,505.29,5043.89,31,2021-06-16,Aktif
1306,653,Vadesiz Mevduat,134408.44,134408.44,15470.85,5251.8,20,2022-07-31,Aktif
1307,654,Vadesiz Mevduat,74660.67,74660.67,4049.81,3356.67,5,2022-10-09,Aktif
1308,655,Vadesiz Mevduat,125888.45,125888.45,14859.66,1033.17,35,2022-08-23,Aktif
1309,656,Döviz Hesabı,58330.12,58330.12,2299.52,5405.19,18,2021-05-07,Kapalı
1310,657,Vadesiz Mevduat,133343.69,133343.69,1663.21,6899.25,17,2023-12-11,Aktif
1311,658,Vadesiz Mevduat,128535.74,128535.74,2750.4,12898.01,38,2022-01-27,Aktif
1312,659,Vadesiz Mevduat,131991.93,131991.93,352.34,14188.38,13,2022-10-04,Aktif
1313,660,Döviz Hesabı,133481.5,133481.5,16305.18,10731.82,7,2021-05-28,Aktif
1314,660,Vadeli Mevduat,60365.29,60365.29,8081.68,1081.57,13,2023-02-05,Aktif
1315,661,Vadeli Mevduat,105589.45,105589.45,129.86,3620.78,11,2022-11-06,Aktif
1316,662,Döviz Hesabı,143290.12,143290.12,13604.11,15119.97,4,2023-10-10,Aktif
1317,662,Vadesiz Mevduat,99035.03,99035.03,8114.27,303.99,24,2022-12-14,Aktif
1318,663,Vadesiz Mevduat,38431.05,38431.05,2711.99,576.58,39,2022-09-08,Aktif
1319,664,Vadesiz Mevduat,5653.14,5653.14,291.6,309.85,24,2022-08-30,Aktif
1320,664,Vadesiz Mevduat,137689.74,137689.74,14903.75,13998.46,1,2023-04-01,Aktif
1321,664,Vadesiz Mevduat,110177.76,110177.76,3618.02,6675.69,9,2021-11-27,Aktif
1322,665,Vadesiz Mevduat,100111.95,100111.95,11089.05,8420.72,27,2021-07-11,Aktif
1323,665,Vadeli Mevduat,118158.19,118158.19,11684.65,10260.18,1,2021-10-03,Aktif
1324,665,Vadeli Mevduat,97788.48,97788.48,12319.19,9403.61,37,2022-09-02,Aktif
1325,666,Vadeli Mevduat,13914.14,13914.14,819.83,1577.57,11,2024-09-20,Aktif
1326,666,Vadesiz Mevduat,54432.24,54432.24,5010.83,2295.03,26,2023-07-27,Aktif
1327,667,Vadesiz Mevduat,129715.92,129715.92,3728.93,6049.12,37,2024-09-06,Aktif
1328,667,Vadesiz Mevduat,12804.44,12804.44,1350.83,51.91,28,2022-09-19,Aktif
1329,668,Vadeli Mevduat,125561.59,125561.59,7503.49,10514.7,5,2023-09-19,Aktif
1330,669,Döviz Hesabı,30683.16,30683.16,162.12,48.74,33,2024-10-28,Aktif
1331,670,Vadesiz Mevduat,38678.29,38678.29,2841.32,4242.95,35,2023-09-02,Aktif
1332,671,Vadesiz Mevduat,118211.34,118211.34,12268.32,2636.0,40,2023-04-18,Aktif
1333,671,Vadesiz Mevduat,28013.95,28013.95,3063.09,1439.26,24,2022-01-06,Aktif
1334,672,Vadeli Mevduat,149930.01,149930.01,10734.1,8535.22,39,2023-08-01,Aktif
1335,673,Vadesiz Mevduat,55577.59,55577.59,8099.28,3134.31,4,2024-04-28,Aktif
1336,673,Vadesiz Mevduat,61431.32,61431.32,7737.71,5589.06,17,2024-09-06,Kapalı
1337,673,Döviz Hesabı,137844.44,137844.44,8150.37,15820.31,27,2023-11-23,Aktif
1338,674,Vadesiz Mevduat,8520.67,8520.67,274.58,43.18,32,2022-05-31,Aktif
1339,674,Vadeli Mevduat,62943.04,62943.04,1871.09,5773.74,19,2022-03-30,Aktif
1340,675,Vadesiz Mevduat,130938.9,130938.9,7580.16,14031.46,39,2023-10-01,Kapalı
1341,675,Döviz Hesabı,79874.75,79874.75,7830.86,5290.83,7,2023-08-01,Aktif
1342,675,Vadesiz Mevduat,112429.15,112429.15,242.08,6700.52,16,2023-11-06,Aktif
1343,676,Vadesiz Mevduat,33313.26,33313.26,351.38,3135.83,6,2022-04-03,Aktif
1344,676,Döviz Hesabı,59345.03,59345.03,1007.25,4025.45,5,2021-06-22,Aktif
1345,676,Vadesiz Mevduat,61547.4,61547.4,6090.97,3559.78,29,2024-04-06,Aktif
1346,677,Vadesiz Mevduat,3324.62,3324.62,451.71,5.96,31,2024-09-22,Aktif
1347,678,Vadeli Mevduat,80662.22,80662.22,12028.99,5613.73,21,2023-06-09,Aktif
1348,678,Vadesiz Mevduat,31976.3,31976.3,161.03,698.53,9,2022-04-04,Aktif
1349,678,Vadesiz Mevduat,72040.72,72040.72,3994.02,3190.77,10,2022-04-27,Aktif
1350,679,Vadesiz Mevduat,90839.47,90839.47,938.61,9533.31,40,2023-11-21,Aktif
1351,679,Vadesiz Mevduat,38261.99,38261.99,1852.84,945.35,34,2021-02-09,Aktif
1352,679,Vadesiz Mevduat,39744.45,39744.45,934.91,1013.46,9,2024-04-28,Aktif
1353,680,Vadeli Mevduat,90637.0,90637.0,2270.19,1660.81,13,2024-09-22,Aktif
1354,680,Döviz Hesabı,6858.91,6858.91,935.22,134.78,23,2023-10-23,Aktif
1355,681,Vadesiz Mevduat,28066.25,28066.25,3531.76,711.93,37,2021-11-07,Aktif
1356,681,Vadeli Mevduat,95007.2,95007.2,6253.64,3197.79,22,2023-04-08,Aktif
1357,682,Döviz Hesabı,59821.09,59821.09,5700.65,5990.19,23,2022-12-09,Aktif
1358,683,Vadesiz Mevduat,126897.35,126897.35,3061.63,6467.26,8,2021-10-13,Aktif
1359,683,Vadeli Mevduat,141366.6,141366.6,2294.38,3641.08,18,2022-12-19,Aktif
1360,684,Vadeli Mevduat,78509.64,78509.64,8016.93,3441.19,6,2023-02-22,Aktif
1361,684,Vadesiz Mevduat,17191.99,17191.99,1375.63,1058.78,18,2024-03-28,Aktif
1362,685,Vadesiz Mevduat,60079.58,60079.58,7599.1,338.03,37,2024-03-29,Aktif
1363,686,Vadeli Mevduat,90754.57,90754.57,4639.23,6984.41,25,2022-11-05,Kapalı
1364,686,Vadeli Mevduat,35953.94,35953.94,115.62,2763.71,2,2022-01-02,Aktif
1365,686,Vadesiz Mevduat,61419.05,61419.05,7833.5,6601.25,37,2022-10-29,Kapalı
1366,687,Vadesiz Mevduat,146780.98,146780.98,3066.96,11467.94,36,2023-03-06,Aktif
1367,687,Vadesiz Mevduat,21829.23,21829.23,2423.42,1607.62,33,2022-04-13,Aktif
1368,688,Vadeli Mevduat,37475.21,37475.21,3182.89,3057.67,29,2021-02-19,Aktif
1369,688,Vadesiz Mevduat,22567.82,22567.82,318.64,612.28,26,2024-09-17,Aktif
1370,688,Vadeli Mevduat,25173.88,25173.88,442.29,2456.59,7,2023-09-22,Aktif
1371,689,Vadesiz Mevduat,120021.73,120021.73,17278.23,9706.77,14,2023-10-30,Aktif
1372,689,Vadesiz Mevduat,20971.45,20971.45,1128.5,2264.48,38,2024-07-03,Aktif
1373,690,Döviz Hesabı,118701.47,118701.47,4049.67,3426.15,14,2023-04-26,Aktif
1374,690,Döviz Hesabı,73984.01,73984.01,2347.15,8744.35,14,2021-05-01,Aktif
1375,690,Vadeli Mevduat,79057.6,79057.6,10075.36,8731.32,3,2023-04-02,Aktif
1376,691,Döviz Hesabı,79573.96,79573.96,7315.82,6519.4,33,2021-04-12,Aktif
1377,692,Döviz Hesabı,79034.98,79034.98,5209.98,6100.63,12,2023-01-29,Aktif
1378,692,Vadesiz Mevduat,54111.76,54111.76,5932.12,1438.35,32,2021-07-02,Aktif
1379,693,Vadesiz Mevduat,21512.89,21512.89,1072.7,1776.68,1,2021-12-25,Aktif
1380,694,Vadesiz Mevduat,134756.33,134756.33,11721.47,9979.63,20,2024-10-29,Aktif
1381,694,Vadesiz Mevduat,95179.58,95179.58,12675.81,5340.56,33,2022-02-24,Kapalı
1382,695,Vadeli Mevduat,12838.6,12838.6,995.81,1523.18,22,2024-02-14,Kapalı
1383,696,Döviz Hesabı,91672.19,91672.19,13029.45,3168.62,15,2021-05-06,Kapalı
1384,696,Vadeli Mevduat,24940.86,24940.86,2631.26,1506.64,17,2024-09-30,Aktif
1385,697,Vadesiz Mevduat,144428.17,144428.17,3949.18,10946.76,30,2024-02-15,Aktif
1386,697,Vadeli Mevduat,56428.73,56428.73,4654.33,3585.89,14,2021-05-12,Aktif
1387,697,Vadesiz Mevduat,72340.71,72340.71,5855.16,6163.24,1,2023-04-10,Aktif
1388,698,Vadeli Mevduat,125055.64,125055.64,13506.55,2083.94,31,2022-03-05,Aktif
1389,698,Vadeli Mevduat,11060.16,11060.16,1507.51,631.5,40,2021-05-13,Aktif
1390,698,Vadesiz Mevduat,69011.89,69011.89,2434.28,3823.86,24,2022-09-07,Aktif
1391,699,Vadeli Mevduat,128607.46,128607.46,257.43,13640.26,3,2021-12-25,Aktif
1392,699,Vadesiz Mevduat,143486.94,143486.94,11922.63,17202.83,30,2024-07-30,Aktif
1393,699,Vadesiz Mevduat,78771.72,78771.72,6210.37,1623.14,30,2021-07-14,Aktif
1394,700,Vadesiz Mevduat,121124.95,121124.95,11405.59,67.94,22,2023-07-14,Aktif
1395,701,Vadesiz Mevduat,21252.38,21252.38,2224.87,1078.66,28,2021-07-04,Aktif
1396,701,Vadesiz Mevduat,122955.92,122955.92,7565.25,11212.04,15,2021-12-20,Kapalı
1397,701,Vadesiz Mevduat,111775.8,111775.8,2877.18,1934.1,20,2021-04-23,Aktif
1398,702,Vadeli Mevduat,107797.78,107797.78,10895.93,449.44,23,2023-04-06,Aktif
1399,702,Döviz Hesabı,120630.29,120630.29,12629.83,4756.78,13,2022-05-04,Aktif
1400,702,Vadesiz Mevduat,5355.77,5355.77,597.69,417.31,1,2021-07-17,Aktif
1401,703,Vadesiz Mevduat,45553.19,45553.19,5990.51,4902.02,1,2022-01-26,Aktif
1402,703,Vadesiz Mevduat,88915.12,88915.12,12418.21,1211.26,36,2023-04-27,Aktif
1403,704,Vadeli Mevduat,100307.39,100307.39,4816.57,6668.59,2,2021-03-03,Aktif
1404,704,Vadesiz Mevduat,110440.66,110440.66,13707.58,12986.7,26,2022-05-08,Kapalı
1405,704,Vadesiz Mevduat,78004.22,78004.22,3831.27,7425.87,28,2022-07-14,Aktif
1406,705,Vadesiz Mevduat,36245.87,36245.87,4516.69,1133.12,17,2023-10-11,Aktif
1407,705,Vadesiz Mevduat,116967.34,116967.34,1585.48,2121.2,24,2023-01-01,Aktif
1408,705,Vadesiz Mevduat,56573.11,56573.11,3869.92,3159.33,34,2023-07-15,Aktif
1409,706,Vadeli Mevduat,34252.12,34252.12,4018.12,71.86,14,2022-06-07,Aktif
1410,706,Döviz Hesabı,14656.49,14656.49,1249.41,1248.75,23,2023-12-23,Aktif
1411,707,Vadesiz Mevduat,31467.89,31467.89,4335.8,272.76,7,2023-04-19,Aktif
1412,707,Vadesiz Mevduat,65731.54,65731.54,9167.7,1228.18,21,2024-05-08,Aktif
1413,707,Vadeli Mevduat,61806.95,61806.95,7617.05,30.48,6,2021-12-26,Aktif
1414,708,Döviz Hesabı,37826.9,37826.9,71.64,2011.28,26,2022-06-11,Aktif
1415,708,Vadesiz Mevduat,140858.22,140858.22,8414.05,5547.6,39,2023-11-30,Aktif
1416,709,Vadesiz Mevduat,19973.35,19973.35,2345.33,1422.84,7,2024-01-01,Aktif
1417,710,Vadesiz Mevduat,536.29,536.29,2.9,28.5,10,2024-07-11,Aktif
1418,710,Vadeli Mevduat,68655.39,68655.39,1429.6,1918.42,38,2024-02-05,Aktif
1419,710,Vadesiz Mevduat,20221.01,20221.01,2804.86,1506.72,10,2023-05-27,Aktif
1420,711,Vadesiz Mevduat,141752.24,141752.24,19100.38,16141.55,19,2023-06-16,Aktif
1421,711,Vadesiz Mevduat,14623.68,14623.68,1582.36,1376.81,26,2023-12-14,Aktif
1422,712,Vadesiz Mevduat,55956.89,55956.89,1873.69,2943.31,17,2021-04-06,Aktif
1423,713,Vadesiz Mevduat,77339.54,77339.54,1389.49,7364.49,26,2021-08-14,Aktif
1424,714,Vadesiz Mevduat,36327.13,36327.13,2796.0,722.07,24,2022-03-11,Kapalı
1425,715,Vadesiz Mevduat,19445.52,19445.52,2011.66,1806.79,25,2024-08-10,Kapalı
1426,716,Vadesiz Mevduat,112182.47,112182.47,2551.15,4764.42,35,2021-08-30,Aktif
1427,716,Vadesiz Mevduat,119455.38,119455.38,16334.74,5572.74,28,2023-12-18,Aktif
1428,716,Vadesiz Mevduat,141116.09,141116.09,13700.36,15274.94,24,2023-10-16,Aktif
1429,717,Vadeli Mevduat,149964.82,149964.82,3711.5,7440.06,21,2021-11-12,Aktif
1430,717,Vadesiz Mevduat,96220.85,96220.85,6820.46,7400.74,14,2023-11-05,Aktif
1431,717,Vadesiz Mevduat,70550.02,70550.02,10023.29,7379.36,6,2021-03-24,Aktif
1432,718,Vadeli Mevduat,12234.88,12234.88,257.99,1446.24,21,2022-08-28,Aktif
1433,718,Döviz Hesabı,96183.15,96183.15,6954.47,5652.54,9,2021-07-12,Aktif
1434,718,Vadeli Mevduat,1985.81,1985.81,76.01,111.67,32,2022-12-31,Aktif
1435,719,Vadesiz Mevduat,80874.25,80874.25,6350.24,6559.74,18,2022-05-06,Aktif
1436,720,Vadeli Mevduat,117726.47,117726.47,1094.51,467.78,18,2023-02-28,Kapalı
1437,720,Vadesiz Mevduat,66527.95,66527.95,9765.61,3760.45,7,2021-02-03,Kapalı
1438,720,Vadesiz Mevduat,2392.88,2392.88,199.42,153.33,1,2023-10-12,Aktif
1439,721,Döviz Hesabı,79412.74,79412.74,1549.65,8655.92,2,2022-02-17,Aktif
1440,721,Vadeli Mevduat,101439.5,101439.5,4124.22,9178.63,29,2021-06-07,Kapalı
1441,722,Vadeli Mevduat,144999.78,144999.78,19214.56,8384.52,15,2021-01-21,Aktif
1442,722,Vadesiz Mevduat,112220.15,112220.15,7756.69,3421.14,38,2024-04-17,Aktif
1443,722,Vadesiz Mevduat,43436.52,43436.52,5664.44,304.64,16,2023-12-16,Kapalı
1444,723,Vadeli Mevduat,87801.27,87801.27,12520.02,7162.09,34,2023-08-28,Kapalı
1445,723,Vadeli Mevduat,14338.6,14338.6,1059.82,1543.19,32,2024-05-23,Aktif
1446,723,Vadesiz Mevduat,103565.09,103565.09,8613.98,3425.06,3,2021-11-20,Aktif
1447,724,Vadesiz Mevduat,118518.9,118518.9,3546.4,14065.47,32,2021-01-20,Aktif
1448,724,Vadesiz Mevduat,123061.46,123061.46,9757.64,10052.25,38,2023-01-19,Aktif
1449,724,Döviz Hesabı,46769.25,46769.25,1764.52,1483.82,13,2021-09-29,Aktif
1450,725,Vadesiz Mevduat,53644.16,53644.16,4200.23,2356.47,7,2022-03-10,Aktif
1451,725,Vadeli Mevduat,51298.79,51298.79,1153.7,4378.81,38,2021-02-11,Aktif
1452,726,Vadesiz Mevduat,63133.3,63133.3,1592.41,290.24,23,2023-11-07,Aktif
1453,727,Vadeli Mevduat,28926.09,28926.09,1338.94,1765.13,11,2021-01-26,Aktif
1454,727,Vadesiz Mevduat,60486.63,60486.63,5354.95,2800.27,10,2024-10-05,Aktif
1455,727,Vadesiz Mevduat,138807.04,138807.04,14784.67,5805.0,31,2024-10-14,Aktif
1456,728,Vadeli Mevduat,97683.76,97683.76,10005.71,2268.25,29,2021-01-16,Aktif
1457,728,Vadeli Mevduat,81123.04,81123.04,6727.47,6333.66,16,2024-10-30,Kapalı
1458,729,Vadesiz Mevduat,12573.99,12573.99,331.18,19.97,16,2021-04-22,Aktif
1459,729,Vadesiz Mevduat,125090.45,125090.45,13845.25,13785.83,32,2024-09-14,Aktif
1460,730,Vadesiz Mevduat,44997.16,44997.16,5131.83,700.52,18,2024-01-10,Aktif
1461,730,Vadeli Mevduat,35755.15,35755.15,5185.67,441.44,27,2023-05-13,Aktif
1462,730,Vadesiz Mevduat,1918.75,1918.75,166.04,31.82,17,2022-06-24,Aktif
1463,731,Vadesiz Mevduat,89876.39,89876.39,6914.21,1590.51,19,2024-10-06,Kapalı
1464,731,Vadesiz Mevduat,7505.18,7505.18,608.91,496.53,9,2024-10-30,Kapalı
1465,732,Vadesiz Mevduat,139603.98,139603.98,3196.91,8520.28,20,2023-06-02,Aktif
1466,733,Vadesiz Mevduat,138979.16,138979.16,17775.47,8064.8,25,2023-10-13,Aktif
1467,733,Vadesiz Mevduat,75703.5,75703.5,1761.29,1659.05,18,2021-05-22,Aktif
1468,733,Vadesiz Mevduat,125022.3,125022.3,7780.47,6863.29,39,2023-11-25,Aktif
1469,734,Döviz Hesabı,109234.2,109234.2,12425.55,6259.27,37,2023-12-11,Aktif
1470,734,Döviz Hesabı,32686.63,32686.63,1564.36,691.58,13,2024-07-11,Aktif
1471,734,Vadesiz Mevduat,148279.34,148279.34,5787.33,9122.84,40,2022-05-29,Aktif
1472,735,Vadeli Mevduat,24297.02,24297.02,1457.14,2479.86,8,2023-02-24,Aktif
1473,736,Vadesiz Mevduat,29653.32,29653.32,1987.4,2486.71,8,2023-04-12,Aktif
1474,736,Vadesiz Mevduat,132861.26,132861.26,689.69,2228.45,18,2021-06-26,Aktif
1475,736,Vadesiz Mevduat,105650.29,105650.29,7628.12,6254.44,37,2024-08-29,Aktif
1476,737,Vadesiz Mevduat,32591.89,32591.89,2535.3,1700.34,34,2023-03-15,Aktif
1477,738,Vadesiz Mevduat,29431.57,29431.57,4043.39,2022.22,23,2021-04-22,Aktif
1478,738,Vadesiz Mevduat,107342.51,107342.51,8207.72,10658.9,30,2022-03-01,Aktif
1479,738,Vadeli Mevduat,62181.3,62181.3,3576.7,1540.61,6,2022-10-31,Kapalı
1480,739,Vadesiz Mevduat,18302.73,18302.73,2302.33,1643.81,28,2021-07-27,Aktif
1481,740,Vadesiz Mevduat,81056.73,81056.73,4299.45,4963.05,32,2024-09-04,Aktif
1482,741,Vadeli Mevduat,85924.83,85924.83,2333.67,241.74,12,2024-09-04,Aktif
1483,742,Vadeli Mevduat,81038.53,81038.53,4603.57,4377.7,6,2024-01-31,Aktif
1484,742,Vadesiz Mevduat,73503.29,73503.29,9361.94,6892.7,35,2022-09-29,Aktif
1485,742,Vadesiz Mevduat,53950.77,53950.77,9.55,1246.65,11,2021-10-28,Aktif
1486,743,Vadesiz Mevduat,145655.11,145655.11,15641.71,4722.59,12,2023-05-24,Aktif
1487,744,Vadeli Mevduat,65245.8,65245.8,6987.83,3266.28,25,2023-04-06,Aktif
1488,744,Vadesiz Mevduat,117454.94,117454.94,12569.29,4729.49,9,2024-06-07,Aktif
1489,744,Vadesiz Mevduat,46654.18,46654.18,3873.95,2373.93,23,2021-03-01,Aktif
1490,745,Vadeli Mevduat,104269.02,104269.02,4290.23,1839.05,15,2022-02-25,Aktif
1491,745,Vadeli Mevduat,30258.83,30258.83,4170.75,1457.41,28,2021-03-07,Aktif
1492,746,Vadesiz Mevduat,19745.23,19745.23,2727.58,2029.95,35,2024-06-29,Aktif
1493,747,Vadesiz Mevduat,111002.88,111002.88,1485.62,5719.63,19,2022-01-20,Aktif
1494,747,Döviz Hesabı,60772.64,60772.64,3075.38,6285.76,28,2021-06-21,Aktif
1495,747,Vadeli Mevduat,99269.2,99269.2,1667.1,820.37,13,2024-01-07,Kapalı
1496,748,Vadesiz Mevduat,55200.28,55200.28,4044.8,2053.77,2,2022-05-15,Aktif
1497,749,Vadesiz Mevduat,35397.05,35397.05,3618.0,1820.47,40,2022-03-16,Aktif
1498,749,Vadeli Mevduat,55114.07,55114.07,2256.18,126.5,27,2022-04-29,Aktif
1499,750,Vadesiz Mevduat,14709.14,14709.14,174.88,989.83,16,2021-01-27,Aktif
1500,750,Vadeli Mevduat,110384.18,110384.18,6245.54,5495.3,21,2022-06-06,Kapalı
1501,750,Vadesiz Mevduat,44864.13,44864.13,5689.11,1925.06,33,2023-02-10,Aktif
1502,751,Vadesiz Mevduat,109282.39,109282.39,8999.71,2278.19,5,2022-01-15,Kapalı
1503,751,Vadesiz Mevduat,98283.76,98283.76,8708.04,11505.8,32,2024-10-02,Aktif
1504,752,Vadesiz Mevduat,11342.66,11342.66,137.56,759.4,38,2021-06-29,Aktif
1505,752,Vadeli Mevduat,34548.47,34548.47,2300.15,2037.83,12,2024-06-05,Aktif
1506,752,Vadeli Mevduat,8140.06,8140.06,392.54,54.81,7,2024-04-16,Aktif
1507,753,Vadeli Mevduat,89880.91,89880.91,10880.91,5051.49,21,2023-04-11,Aktif
1508,753,Vadesiz Mevduat,137333.97,137333.97,4227.23,14183.69,6,2023-01-25,Aktif
1509,754,Vadeli Mevduat,149767.39,149767.39,8594.69,13741.5,9,2021-09-11,Aktif
1510,754,Vadeli Mevduat,73043.95,73043.95,4389.47,5641.24,17,2023-12-28,Aktif
1511,754,Vadesiz Mevduat,26415.29,26415.29,1736.26,2317.21,11,2021-09-18,Aktif
1512,755,Vadesiz Mevduat,121661.51,121661.51,1325.92,2397.82,22,2024-06-25,Aktif
1513,755,Vadesiz Mevduat,18180.45,18180.45,1438.56,1408.38,3,2024-08-05,Aktif
1514,756,Vadesiz Mevduat,58784.98,58784.98,4883.3,4302.96,39,2022-12-11,Aktif
1515,756,Vadesiz Mevduat,99868.41,99868.41,10178.75,6207.17,8,2024-04-23,Aktif
1516,756,Vadeli Mevduat,114959.41,114959.41,9722.09,7284.27,36,2022-11-19,Aktif
1517,757,Vadesiz Mevduat,144365.82,144365.82,9440.28,6786.84,3,2021-08-14,Aktif
1518,758,Döviz Hesabı,90646.89,90646.89,12821.43,892.04,4,2021-08-03,Aktif
1519,759,Vadesiz Mevduat,31353.39,31353.39,2366.23,1408.87,25,2022-03-12,Aktif
1520,760,Vadesiz Mevduat,117503.14,117503.14,17273.12,2830.46,27,2022-10-16,Aktif
1521,761,Vadesiz Mevduat,73368.55,73368.55,1721.08,5902.28,5,2021-12-09,Kapalı
1522,762,Vadesiz Mevduat,87296.9,87296.9,7785.29,10417.78,10,2021-05-25,Aktif
1523,763,Vadesiz Mevduat,133810.61,133810.61,4108.04,11508.98,20,2023-02-16,Aktif
1524,763,Vadesiz Mevduat,123149.57,123149.57,17782.24,10948.22,24,2023-11-16,Aktif
1525,763,Vadesiz Mevduat,48751.8,48751.8,6762.29,3980.1,8,2022-08-21,Aktif
1526,764,Vadeli Mevduat,131228.48,131228.48,2988.5,10370.36,18,2022-02-06,Aktif
1527,764,Döviz Hesabı,65886.76,65886.76,9300.76,7174.95,36,2023-01-08,Aktif
1528,765,Vadeli Mevduat,138921.23,138921.23,19272.72,13561.74,7,2021-08-31,Aktif
1529,765,Vadeli Mevduat,57957.18,57957.18,7965.64,4129.11,15,2024-07-28,Aktif
1530,766,Vadeli Mevduat,3803.33,3803.33,86.52,402.83,37,2022-05-23,Aktif
1531,766,Vadeli Mevduat,41966.14,41966.14,1101.25,1779.61,27,2024-06-09,Aktif
1532,766,Vadesiz Mevduat,133045.69,133045.69,18191.99,4207.59,14,2023-06-29,Kapalı
1533,767,Vadeli Mevduat,128558.19,128558.19,7807.32,7227.84,39,2024-10-10,Aktif
1534,767,Vadesiz Mevduat,111951.61,111951.61,6482.83,11142.42,7,2023-02-03,Aktif
1535,768,Vadesiz Mevduat,138774.01,138774.01,3636.83,14513.3,12,2023-03-18,Kapalı
1536,768,Döviz Hesabı,123966.51,123966.51,2859.43,10150.66,12,2022-04-24,Aktif
1537,768,Vadesiz Mevduat,18489.52,18489.52,699.46,1483.44,25,2022-08-24,Aktif
1538,769,Vadesiz Mevduat,114292.66,114292.66,4115.32,3839.31,31,2024-09-09,Aktif
1539,769,Vadesiz Mevduat,131658.4,131658.4,17041.05,3126.14,11,2021-02-27,Aktif
1540,769,Vadesiz Mevduat,16031.42,16031.42,799.89,1323.5,13,2022-01-28,Aktif
1541,770,Vadeli Mevduat,25700.81,25700.81,1832.57,1441.61,39,2021-02-12,Aktif
1542,771,Vadesiz Mevduat,79941.62,79941.62,5415.8,3290.94,21,2021-04-19,Aktif
1543,771,Vadesiz Mevduat,86078.72,86078.72,312.27,7894.17,6,2021-07-22,Aktif
1544,771,Vadesiz Mevduat,129349.47,129349.47,13830.24,10386.64,25,2024-01-21,Aktif
1545,772,Vadesiz Mevduat,28955.13,28955.13,1632.42,1573.43,13,2024-04-30,Kapalı
1546,773,Vadesiz Mevduat,46298.34,46298.34,2690.38,5233.94,40,2024-01-11,Aktif
1547,773,Vadesiz Mevduat,60625.88,60625.88,4812.95,5124.19,36,2024-10-04,Aktif
1548,774,Vadesiz Mevduat,4802.79,4802.79,29.63,81.77,40,2022-10-12,Aktif
1549,774,Vadeli Mevduat,60515.29,60515.29,7393.22,5155.05,37,2024-05-25,Aktif
1550,774,Vadesiz Mevduat,50896.54,50896.54,3988.68,3371.75,32,2021-11-10,Aktif
1551,775,Döviz Hesabı,113926.12,113926.12,9312.22,7859.5,16,2024-07-02,Aktif
1552,776,Vadesiz Mevduat,27971.03,27971.03,2936.24,2291.37,6,2024-07-21,Aktif
1553,777,Vadesiz Mevduat,28682.06,28682.06,440.81,12.03,8,2022-04-07,Kapalı
1554,777,Vadesiz Mevduat,87578.49,87578.49,8460.57,5170.9,40,2022-06-27,Aktif
1555,777,Vadeli Mevduat,57000.01,57000.01,4515.2,6468.28,33,2024-03-06,Aktif
1556,778,Vadesiz Mevduat,62708.56,62708.56,3117.53,7452.29,17,2023-12-30,Aktif
1557,779,Vadeli Mevduat,87790.45,87790.45,4463.09,4036.12,17,2023-10-16,Aktif
1558,780,Vadesiz Mevduat,108242.53,108242.53,13397.4,5329.8,27,2024-08-10,Kapalı
1559,780,Vadeli Mevduat,56548.39,56548.39,8044.12,3288.67,9,2023-11-02,Kapalı
1560,781,Vadeli Mevduat,42971.39,42971.39,6163.52,4274.79,40,2023-11-03,Aktif
1561,782,Vadeli Mevduat,86531.73,86531.73,9481.44,1613.93,32,2022-10-23,Aktif
1562,782,Vadeli Mevduat,102556.72,102556.72,10187.6,1899.0,20,2023-05-27,Kapalı
1563,783,Vadeli Mevduat,77885.86,77885.86,8824.2,254.07,25,2024-01-06,Aktif
